epis;0
0;107
1;188
2;452
3;132
4;501
5;501
6;191
7;501
8;160
9;501
10;227
11;115
12;501
13;150
14;501
15;501
16;501
17;45
18;501
19;501
20;501
21;501
22;501
23;501
24;501
25;501
26;488
27;501
28;501
29;277
30;501
31;45
32;135
33;501
34;92
35;59
36;70
37;122
38;238
39;241
40;77
41;52
42;214
43;52
44;76
45;501
46;171
47;501
48;501
49;285
50;501
51;91
52;40
53;206
54;501
55;74
56;156
57;254
58;74
59;142
60;108
61;58
62;83
63;120
64;152
65;380
66;115
67;107
68;421
69;172
70;70
71;341
72;294
73;73
74;77
75;54
76;86
77;65
78;256
79;46
80;501
81;425
82;217
83;193
84;501
85;112
86;199
87;169
88;63
89;210
90;53
91;250
92;66
93;217
94;50
95;199
96;331
97;179
98;116
99;274
100;80
101;140
102;283
103;45
104;78
105;56
106;111
107;50
108;112
109;135
110;110
111;124
112;50
113;106
114;104
115;48
116;130
117;144
118;110
119;62
120;51
121;220
122;91
123;139
124;95
125;332
126;66
127;68
128;70
129;46
130;65
131;54
132;52
133;77
134;131
135;161
136;58
137;214
138;52
139;131
140;62
141;162
142;107
143;71
144;71
145;132
146;49
147;51
148;167
149;133
150;75
151;148
152;149
153;61
154;108
155;126
156;61
157;80
158;239
159;86
160;52
161;156
162;224
163;169
164;104
165;160
166;72
167;263
168;82
169;203
170;269
171;42
172;89
173;82
174;107
175;76
176;94
177;77
178;170
179;79
180;53
181;50
182;113
183;95
184;53
185;107
186;55
187;83
188;115
189;101
190;60
191;178
192;69
193;140
194;105
195;80
196;61
197;153
198;93
199;156
200;52
201;50
202;20
203;152
204;66
205;174
206;75
207;111
208;68
209;34
210;84
211;159
212;231
213;114
214;83
215;82
216;110
217;100
218;94
219;116
220;45
221;48
222;123
223;78
224;135
225;130
226;153
227;154
228;73
229;59
230;80
231;61
232;95
233;136
234;133
235;165
236;131
237;434
238;105
239;87
240;84
241;161
242;66
243;55
244;97
245;209
246;89
247;234
248;81
249;121
250;111
251;127
252;77
253;113
254;142
255;234
256;57
257;111
258;59
259;99
260;62
261;98
262;348
263;174
264;201
265;47
266;197
267;468
268;147
269;210
270;227
271;62
272;226
273;149
274;205
275;163
276;93
277;56
278;368
279;230
280;125
281;182
282;74
283;60
284;81
285;106
286;204
287;116
288;98
289;114
290;103
291;110
